OBJECTID,WPITEM,WPITMSEG,ITMSEG,FINPROJ,RDWYLOC,BEGSECPT,ENDSECPT,RDWYSIDE,RDWYID,ITSEGMAN,WPWKMIX,WPITSTAT,MANDISDV,CONTYDOT,WPPHAZGP,WPPHAZTP,FINPRJSQ,FISCALYR,PRPLCCDE,PRPLCODE,CONTYNAM,WPWKMIXN,WPITSTNM,LOCALFULL,LOC_ERROR,Shape__Length,WPPHAZTP_DESC,Normalized_Length,PHASE_WEIGHT,risk_proxy
36548,251688,1,2516881,25168815209,14,0.0,0.072,C,87060000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,09,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,115.92256956018275,Active Construction,0.00967447575172105,1.0,0.00967447575172105
36557,251688,1,2516881,25168815202,12,12.65499973,13.04800034,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2023,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,627.4630437466387,Active Construction,0.05236578195996961,1.0,0.05236578195996961
36558,251688,1,2516881,25168815202,5,0.0,0.102,C,87200123,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,170.85857422988244,Active Construction,0.014259234760168672,1.0,0.014259234760168672
36566,251688,1,2516881,25168815230,5,0.0,0.102,C,87200123,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,30,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,170.85857422988244,Active Construction,0.014259234760168672,1.0,0.014259234760168672
36568,251688,1,2516881,25168815202,22,0.0,0.121,C,87200125,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,204.19389825062984,Active Construction,0.017041279577999023,1.0,0.017041279577999023
36570,251688,1,2516881,25168815201,13,11.68400002,13.04800034,L,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,01,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,2177.7983865405636,Active Construction,0.18175112717619346,1.0,0.18175112717619346
36578,251688,1,2516881,25168815202,22,0.0,0.121,C,87200125,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,02,2024,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,204.19389825062984,Active Construction,0.017041279577999023,1.0,0.017041279577999023
36579,251688,1,2516881,25168815204,21,0.102,0.18700001,C,87200123,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,04,2026,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,130.26393531132325,Active Construction,0.010871353941467697,1.0,0.010871353941467697
36587,251688,1,2516881,25168815201,11,12.45499992,12.65499973,R,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,01,2025,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,319.3439257060065,Active Construction,0.026651281777343803,1.0,0.026651281777343803
36590,251688,1,2516881,25168815204,13,11.68400002,13.04800034,L,87200000,"BENITEZ, AURALIZ    ",0023,090,06,87,5,2,04,2024,A,01,MIAMI-DADE          ,BRIDGE-REPLACE AND A,UNDER CONSTRUCTION  ,SR 836/I-395 FROM WEST OF I-95 TO MACARTHUR CSWY BRIDGE,NO ERROR,2177.7983865405636,Active Construction,0.18175112717619346,1.0,0.18175112717619346
